-2.04686, 54.14759, Youth Hostels Association, GB-United Kingdom, +44 1756 760232
-2.57952, 55.23186, Kielder Youth Hostel, GB-United Kingdom, +44 1434 250195
-2.34901, 54.47175, Youth Hostels Association, GB-United Kingdom, +44 17683 71793
-4.71344, 52.10713, Poppit Sand, GB-United Kingdom, +44 1239 612936
-3.15056, 52.96012, Llangollen Y H A, GB-United Kingdom, +44 1978 860330
-2.71622, 55.59726, Scottish Youth Hostels Association, GB-United Kingdom, +44 1896 822521
-2.34883, 54.26102, Youth Association, GB-United Kingdom, +44 15396 25251
0.23693, 52.02435, Youth Hostels Association, GB-United Kingdom, +44 1799 523117
-3.13412, 54.59982, Braithwaite Methodist Youth Centre, GB-United Kingdom, +44 17687 74314
-0.13128, 51.47198, Hostmere, GB-United Kingdom, +44 20 7720 5175
-1.95829, 50.60663, Youth Hostels (Swanage), GB-United Kingdom, +44 1929 422113
-1.14806, 51.52102, Youth Hostels Association, GB-United Kingdom, +44 1491 872278
1.09176, 51.27121, Youth Hostels Association, GB-United Kingdom, +44 1227 462911
-0.14291, 50.82122, Brighton Backpackers, GB-United Kingdom, +44 1273 777717
-2.08078, 54.55854, Youth Hostels Association, GB-United Kingdom, +44 1833 650629
-4.22519, 57.47485, Inverness Student Hotel, GB-United Kingdom, +44 1463 236556
-3.13289, 54.57003, Derwentwater YHA, GB-United Kingdom, +44 17687 77246
1.14413, 51.78358, Chelsea The, GB-United Kingdom, +44 1255 421215
-4.60120, 56.79186, Loch Ossian Youth Hostel, GB-United Kingdom, +44 1397 732207
-4.11305, 53.22842, Youth Hostels Association, GB-United Kingdom, +44 1248 353516
-1.80053, 53.05515, Dovedale House, GB-United Kingdom, +44 1335 350365
-4.69445, 50.69052, Youth Hostels Association, GB-United Kingdom, +44 870 770 5710
-1.84439, 52.52880, Short Heath, GB-United Kingdom, +44 121 693 2480
-3.24686, 54.20734, Duddon Estuary Youth Hostel The, GB-United Kingdom, +44 1229 773937
-1.91963, 53.19991, Moorside Farm Bunkhouse, GB-United Kingdom, +44 1298 83406
-5.08517, 50.41392, Original Backpackers The, GB-United Kingdom, +44 1637 874668
-4.21040, 51.54471, Youth Hostels Association, GB-United Kingdom, +44 1792 390706
-1.55424, 53.13877, Y H A England & Wales Group Reservations Service, GB-United Kingdom, +44 870 870 8808
-3.15043, 54.51869, Borrowdale, GB-United Kingdom, +44 17687 77257
-5.15776, 57.89618, Scottish Youth Hostels Association, GB-United Kingdom, +44 1854 612254
-3.94078, 56.11525, Scottish Youth Hostels Association, GB-United Kingdom, +44 1786 891400
1.46258, 52.16072, Youth Hostels Association, GB-United Kingdom, +44 1728 688206
-2.73823, 51.10869, Youth Hostels Association, GB-United Kingdom, +44 1458 442961
-2.74797, 54.32528, Youth Hostel Association, GB-United Kingdom, +44 1539 724066
-5.04915, 56.85394, Glen Nevis, GB-United Kingdom, +44 1397 702336
-3.22081, 55.94895, Scottish Youth Hostels Association, GB-United Kingdom, +44 131 337 1120
-2.34044, 51.37983, Youth Hostels Association, GB-United Kingdom, +44 1225 465674
-1.55334, 53.13967, Matlock Youth Hostel, GB-United Kingdom, +44 870 770 5960
-3.36740, 54.65611, Youth Hostels Association, GB-United Kingdom, +44 1900 822561
-0.18996, 51.49335, Overseas Visitors Club, GB-United Kingdom, +44 20 7244 7837
-3.74776, 52.19085, Youth Hostels Association, GB-United Kingdom, +44 1974 298680
-0.92399, 60.71020, Gardiesfauld Youth Hostel, GB-United Kingdom, +44 1957 755279
-0.78757, 52.04852, YHA Bradwell Village, GB-United Kingdom, +44 870 770 5716
-0.31101, 51.01255, Gaveston Hall Youth Centre & Hostel, GB-United Kingdom, +44 1403 891431
-3.40480, 52.95803, Y H A (England & Wales) Ltd, GB-United Kingdom, +44 1490 412814
-3.12188, 58.63315, Scottish Youth Hostels, GB-United Kingdom, +44 870 004 1129
0.16328, 50.97614, Youth Hostels Association, GB-United Kingdom, +44 1825 890607
-5.45087, 57.22374, Scottish Youth Hostels Association, GB-United Kingdom, +44 1599 511243
-5.07094, 56.80293, Scottish Youth Hostels, GB-United Kingdom, +44 1397 702336
-2.13633, 55.89260, Scottish Youth Hostel, GB-United Kingdom, +44 18907 71298
-2.24257, 50.62562, Youth Hostels Association, GB-United Kingdom, +44 870 770 5940
-0.18595, 51.57038, Hampstead Heath Youth Hostel, GB-United Kingdom, +44 20 8458 9054
-3.32667, 54.51481, Youth Hostels Association, GB-United Kingdom, +44 1946 861237
-6.29163, 57.20998, Glenbrittle Youth Hostel, GB-United Kingdom, +44 1478 640278
-2.14961, 54.02856, Friends Meeting House & Hostel, GB-United Kingdom, +44 1729 830263
-1.54288, 50.67701, Youth Hostels Association, GB-United Kingdom, +44 1983 752165
-1.10004, 53.96935, York (International), GB-United Kingdom, +44 1904 653147
-5.28238, 51.90235, Youth Hostels Association, GB-United Kingdom, +44 1437 720345
-1.13678, 52.95314, Lifeline Community Housing, GB-United Kingdom, +44 115 844 7781
-1.43325, 51.56228, Ridgeway Youth Hostel The, GB-United Kingdom, +44 1235 760253
-2.89560, 52.56316, Youth Hostels Association, GB-United Kingdom, +44 1588 650656
-4.28884, 55.81847, Scout Association The, GB-United Kingdom, +44 141 637 4683
-0.48655, 54.39309, Bunk Barn Youth Hostel, GB-United Kingdom, +44 1723 870475
-5.91207, 57.24622, Broadford Youth Hostel, GB-United Kingdom, +44 1471 822442
1.36402, 51.38507, Youth Hostel Associations, GB-United Kingdom, +44 1843 221616
0.48857, 52.93724, Youth Hostels Association, GB-United Kingdom, +44 1485 532061
-3.77927, 51.90590, Youth Hostels Association (England & Wales), GB-United Kingdom, +44 1550 740218
-3.78276, 55.66423, New Lanark Youth Hostel, GB-United Kingdom, +44 1555 666710
-2.24776, 55.14527, Youth Hostels Association, GB-United Kingdom, +44 1434 220313
-4.62869, 56.02144, Scottish Youth Hostels Association, GB-United Kingdom, +44 1389 850226
-1.68633, 53.17516, Youlgreave Youth Hostel, GB-United Kingdom, +44 1629 636518
-0.37146, 52.73824, Youth Hostels Association, GB-United Kingdom, +44 1778 425588
-3.94357, 56.12044, Stirling Youth Hostel, GB-United Kingdom, +44 1786 473442
-2.03510, 53.75436, Slack Top Centre, GB-United Kingdom, +44 1422 842874
-0.29563, 54.20041, Humberside Youth Association Ltd, GB-United Kingdom, +44 1723 515777
-0.72452, 51.12429, Hindhead Youth Hostel, GB-United Kingdom, +44 1428 604285
-1.29168, 54.37643, Youth Hostels Association, GB-United Kingdom, +44 1609 883575
-2.59710, 51.44976, Bristol Youth Hostel, GB-United Kingdom, +44 117 922 1659
-3.50020, 50.69835, Youth Hostels Association, GB-United Kingdom, +44 1392 873329
-2.96962, 58.97628, Kirkwall Youth Hostel, GB-United Kingdom, +44 1856 872243
-3.23293, 51.09780, Youth Hostels Association, GB-United Kingdom, +44 1984 667249
-2.39408, 51.73594, Y H A (England & Wales) Ltd, GB-United Kingdom, +44 1453 890275
-2.53347, 54.98251, Youth Hostels Association, GB-United Kingdom, +44 16977 47401
-2.00236, 53.19203, Youth Hostels Association, GB-United Kingdom, +44 1260 227625
-5.06758, 56.79977, Scottish Youth Hostels, GB-United Kingdom, +44 1397 708693
1.21221, 52.93896, Youth Hostels Association, GB-United Kingdom, +44 870 770 6024
-3.24250, 54.39756, Youth Hostels Association, GB-United Kingdom, +44 19467 23219
-6.35956, 57.58276, Scottish Youth Hostel, GB-United Kingdom, +44 1478 612842
-4.17370, 55.17850, Kendoon Youth Hostels, GB-United Kingdom, +44 870 004 1130
-0.34680, 51.74355, Youth Hostels Association, GB-United Kingdom, +44 870 870 8808
-1.08469, 53.96236, Patmore David Ltd, GB-United Kingdom, +44 1904 642881
-5.29586, 55.70490, Scottish Youth Hostels Association, GB-United Kingdom, +44 1770 830631
-0.15358, 50.82315, Baggies Back Packers, GB-United Kingdom, +44 1273 733740
-1.98342, 54.29073, Youth Hostels Association, GB-United Kingdom, +44 1969 663260
-4.48140, 54.96759, Scottish Youth Hostels Association, GB-United Kingdom, +44 1671 402211
-3.34910, 51.94869, Youth Hostels Association, GB-United Kingdom, +44 1874 665270
-2.87885, 53.19247, Chester Backpackers, GB-United Kingdom, +44 1244 400185
-1.56603, 53.12178, Shining Cliff Youth Hostel, GB-United Kingdom, +44 1629 760827
-1.97482, 54.84511, Youth Hostels Association, GB-United Kingdom, +44 1207 255651
-0.13669, 51.51475, Youth Hostels Association, GB-United Kingdom, +44 20 7734 1618
-3.29562, 52.06287, Association Of Bunkhouse Operators, GB-United Kingdom, +44 7071 780259
-1.96840, 53.82129, Westfield Lodge, GB-United Kingdom, +44 1535 646900
-1.27217, 51.75266, Youth Hostels Association (England & Wales), GB-United Kingdom, +44 1865 727275
-0.42255, 51.19380, Youth Hostels Association, GB-United Kingdom, +44 1306 730777
-4.13210, 53.11294, Youth Hostels Association, GB-United Kingdom, +44 1286 870280
-5.14453, 51.94874, Trefin Youth Hostel, GB-United Kingdom, +44 1348 831414
-4.28703, 55.87577, Bunkum Backpackers Hostel, GB-United Kingdom, +44 141 581 4481
-1.18085, 52.22386, Youth Hostels Association, GB-United Kingdom, +44 1327 703883
-2.39193, 53.87307, Y H A Camping Barns, GB-United Kingdom, +44 1200 420102
-2.20446, 54.30353, Youth Hostels Association, GB-United Kingdom, +44 1969 667368
-4.61654, 56.39147, Scottish Youth Hostels Association, GB-United Kingdom, +44 1838 300260
-3.83296, 57.18428, Aviemore Youth Hostel, GB-United Kingdom, +44 1479 810345
-2.15177, 54.06226, Youth Hostels Association, GB-United Kingdom, +44 1729 830321
-1.60090, 54.98414, Newcastle Youth Hostel, GB-United Kingdom, +44 191 281 2570
-3.20359, 55.93611, Bruntsfield Youth Hostel, GB-United Kingdom, +44 131 447 2994
-3.22272, 51.16958, Youth Hostels Association, GB-United Kingdom, +44 1278 741224
-3.45323, 56.39316, Perth Youth Hostel, GB-United Kingdom, +44 1738 623658
-2.99497, 54.36173, YHA Hawkeshead, GB-United Kingdom, +44 15394 36462
-3.30191, 58.95943, Scottish Youth Hostels Association, GB-United Kingdom, +44 1856 850589
-3.49082, 51.89859, Youth Hostels Association, GB-United Kingdom, +44 1874 624261
-0.10083, 51.51316, Youth Hostels Association, GB-United Kingdom, +44 20 7236 4965
-0.80740, 51.66638, Bradenham Youth Hostel, GB-United Kingdom, +44 1494 562929
-4.02056, 53.12329, Youth Hostels Association, GB-United Kingdom, +44 1248 600225
-3.08015, 54.19964, Walkers Hostel, GB-United Kingdom, +44 1229 585588
-5.11064, 51.87768, Penycwm Youth Hostel, GB-United Kingdom, +44 1437 721940
-3.57991, 50.38124, Youth Hostels Association, GB-United Kingdom, +44 1803 842444
-1.67787, 53.21488, Bakewell Youth Hostel, GB-United Kingdom, +44 1629 812313
-0.05913, 51.41516, Bromley Housing Aid, GB-United Kingdom, +44 20 8289 5308
-3.69482, 57.16813, Cairngorm Lodge Youth Hostel, GB-United Kingdom, +44 1479 861238
-3.90160, 50.58063, Youth Hostels Association, GB-United Kingdom, +44 1822 880227
0.10110, 51.77962, Harlow International Hostel, GB-United Kingdom, +44 1279 421702
